구분,해킹,악성프로그램,사이버사기,사이버금융범죄,사이버음란물,사이버도박,서비스거부공격,기타 정보통신망 침해형 범죄,개인위치정보 침해,사이버저작권침해,기타 정보통신망 이용형 범죄,사이버 명예훼손(모욕),사이버 스토킹,기타 불법 컨텐츠,총합
발생건수,3176,169,174328,20248.0,4831.0,5692,25,974,241,2183,2594,19388,42,204,234095.0
검거건수,548,81,127233,4621.0,4063.0,5436,10,272,95,1493,1254,12638,39,126,157909.0
발생건수,2664,270,136074,10542.0,2690.0,5346,35,669,179,2562,2559,16633,25,251,180499.0
검거건수,556,189,105651,3387.0,2164.0,5162,14,248,78,1772,1510,11632,20,176,132559.0
발생건수,2178,119,112000,5621.0,3833.0,3012,20,571,246,3856,1954,15926,60,208,149604.0
검거건수,584,50,87714,2353.0,3282.0,2947,14,254,142,2467,1250,10889,50,137,112133.0
발생건수,2430,167,92636,6066.0,2646.0,5130,43,516,413,6667,1489,13348,59,124,131734.0
검거건수,990,122,80740,2632.0,2329.0,5080,28,258,298,4134,975,9756,52,95,107489.0
발생건수,1847,0,100369,6721.0,3777.0,9538,192,594,2410,9796,2571,14908,56,159,152938.0
검거건수,537,0,89364,4034.0,3435.0,9394,164,248,2125,5616,2033,10539,53,118,127660.0
발생건수,2247,0,81849,14686.0,4244.0,3352,40,701,609,18770,2448,15043,134,390,144513.0
검거건수,524,0,68444,7886.0,3475.0,3365,19,225,296,8832,1200,10202,124,222,104814.0
발생건수,1648,0,56667,15596.0,4354.0,4271,26,487,939,14168,2149,8880,363,431,109979.0
검거건수,540,0,40657,6567.0,3739.0,4047,16,221,635,7198,1404,6241,300,316,71881.0
