시점,전체,성별,성별,연령별,연령별,연령별,연령별,연령별,연령별,연령별,연령별,연령별,지역별,지역별,지역별,지역별,지역별,지역별,지역별,지역별,지역별,지역별,지역별,지역별,지역별,지역별,지역별,지역별,지역별,지역별,지역별,지역별
시점,소계,남성,여성,3-9세,10대,20대,30대,40대,50대,60대,60세 이상,70세 이상,서울,부산,대구,인천,광주,대전,울산,경기,강원,충청,충청,충청,충청,전라,전라,전라,경상,경상,경상,제주
시점,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,충북,충남,세종,소계,전북,전남,소계,경북,경남,소계
2020,46819,23989,22830,2959,4730,6968,7199,8274,8567,5920,-,2201,8746,3064,2299,2655,1347,1390,1073,12159,1205,3864,1526,2001,336,3040,1545,1496,5389,2441,2948,586
2019,46353,23733,22621,2826,5004,6974,7388,8348,8486,5323,-,2004,8736,3017,2339,2680,1335,1396,1046,11759,1264,3878,1520,2047,311,2968,1504,1464,5365,2464,2901,570
2018,46125,23708,22417,2781,5071,6945,7439,8484,8363,5107,-,1935,8686,3108,2282,2625,1382,1402,1082,11564,1251,3675,1434,1946,295,3109,1612,1497,5396,2419,2977,562
2017,45283,23315,21968,2694,5237,6897,7555,8577,8298,4501,-,1524,8649,3130,2255,2534,1375,1370,1098,11250,1237,3480,1374,1862,245,3066,1600,1466,5304,2329,2974,535
2016,43636,22451,21185,2670,5401,6841,7517,8352,7802,3845,-,1207,8419,3071,2192,2496,1346,1350,1076,10779,1103,3262,1328,1733,200,2898,1505,1393,5147,2233,2913,498
2015,41940,21755,20185,2555,5647,6796,7633,8360,7245,2898,-,806,8328,2899,2181,2403,1328,1272,1062,10359,1091,2881,1181,1544,155,2668,1374,1294,4979,2232,2747,490
2014,41118,21469,19649,2526,5903,6780,7780,8324,6863,-,2942,-,8400,2798,2219,2279,1303,1264,1011,10064,1053,2803,1153,1556,94,2578,1326,1252,4892,2252,2640,454
